Date,Day,Time,Type,Name,Hidden
9/10/2021,Fri,Lunch,Work Session,Brainstorming,FALSE
9/13/2021,Mon,Lunch,Work Session,What is CS?,FALSE
9/15/2021,Wed,After School,Workshop,Introduction to CS,FALSE
9/17/2021,Fri,Lunch,Work Session,Workshop reflection,FALSE
9/20/2021,Mon,Lunch,Mini Lecture,Python Basics,FALSE
9/20/2021,Mon,After School,Coding Practice,Chat Bot in Python,FALSE
9/24/2021,Fri,Lunch,Mini Lecture,Python Basics (Rerun),FALSE
9/24/2021,Fri,After School,Coding Practice,Chat Bot in Python,FALSE
9/27/2021,Mon,Lunch,Deep Dive,Random,FALSE
9/27/2021,Mon,After School,Coding Practice,Sandbox,FALSE
10/1/2021,Fri,Lunch,Mini Lecture,Functions,FALSE
10/1/2021,Fri,After School,Coding Practice,Sandbox,FALSE
10/4/2021,Mon,Lunch,Coding Practice,Practice Websites,FALSE
10/6/2021,Wed,After School,Design Session,Intro to Figma,FALSE
10/8/2021,Fri,Lunch,Mini Lecture,Loops,FALSE
10/9/2021,Sat,Other,Hackathon,TeenTechSF,FALSE
10/11/2021,Mon,Other,Break,No School,FALSE
10/13/2021,Wed,After School,Design Session,Designing a website,FALSE
10/15/2021,Fri,Lunch,Mini Lesson,Data Structures,FALSE
10/18/2021,Mon,Lunch,Talk,Coding Practice,FALSE
10/20/2021,Wed,After School,Workshop,Intro to Unity,FALSE
10/22/2021,Fri,Lunch,Mini Lesson,JavaScript,FALSE
10/25/2021,Mon,Lunch,Deep Dive,Cryptocurrency & Blockchain,FALSE
10/29/2021,Fri,Lunch,Mini Lesson,C#,FALSE
11/1/2021,Mon,Lunch,Talk,Unity: Movement,FALSE
11/1/2021,Mon,After School,Practice,Challenge,FALSE
11/3/2021,Wed,After School,Practice,Kahoot & Review,FALSE
11/5/2021,Fri,Lunch,Talk,Unity: Collisions,FALSE
11/8/2021,Mon,Lunch,Mini Lesson,Unity: Prefabs,FALSE
11/10/2021,Wed,After School,Practice,Projectiles in Unity,FALSE
11/29/2021,Mon,Lunch,Deep Dive,Github,FALSE
12/1/2021,Wed,After School,Practice,Unity: Projectiles,FALSE
12/3/2021,Fri,Lunch,Talk,Search algorithms,FALSE
12/6/2021,Mon,Lunch,Mini Lesson,Physics Simulation,FALSE
12/6/2021,Mon,After School,Practice,Stylized Time,FALSE
12/7/2021,Tue,Lunch,Talk,Discord Bot,FALSE
12/9/2021,Thu,Lunch,Talk,Pathfinding Algorithms,FALSE
12/10/2021,Fri,Lunch,Talk,Conway's Game of Life,FALSE
12/10/2021,Fri,After School,Talk,Raycasting Light,FALSE
12/20/2021,Mon,Lunch,Hackathon,Internal Hackathon - Introduction,FALSE
1/3/2022,Mon,After School,,,FALSE
1/5/2022,Wed,After School,,,FALSE
1/7/2022,Fri,Lunch,,,FALSE
1/10/2022,Mon,Lunch,,,FALSE
1/12/2022,Wed,After School,Workshop,Interactive Websites,FALSE
1/14/2022,Fri,Lunch,Break,No School,FALSE
1/17/2022,Mon,Lunch,Break,No School,FALSE
2/16/2022,Wed,Lunch,Workshop,TBD,FALSE
2/21/2022,Mon,Lunch,Break,No School,FALSE
3/16/2022,Wed,Lunch,Workshop,TBD,FALSE
3/26/2022,Sat,Lunch,Hackathon,Internal Hackathon - April Fools App,FALSE
4/1/2022,Fri,Lunch,Break,No School,FALSE
4/4/2022,Mon,Lunch,Coding Lessons,Blank,FALSE
4/4/2022,Mon,Lunch,Hackathon,Internal Hackathon - Utility,FALSE
4/13/2022,Wed,Lunch,Workshop,TBD,FALSE
5/11/2022,Wed,Lunch,Workshop,TBD,FALSE
5/20/2022,Fri,Lunch,Break,Finals,FALSE
